sample_id,split,label,text_clean,n_words_raw,n_words_clean
0,train,1,ليندا رونستادت افضل حال اشترى قرص المضغوط trepedition اخر تجربة linda ronstadt جديد مخيب للامال انني افهم يريد الفنان جيد والطويل يجرب اشكالا جديد الاشكال اكثر تجربة ما اعتقد اكثر صحيح جذور ليندا رونستادت موسيقي وعشاقها اصلي مجموع عبارة عودة اساسي عمل شكل جيد زميلتها سافوي لديها مجموع جميل ومؤكدة اغاني اختيار الالحان شعبية قديم اصلي بما يكفي مثير اهتمام ممتع للغاية مذهل استماع,96,64
1,train,0,لعب لا افهم تصرف الناس اسلوب جديد اعتقد لم سمع وزارة ارض الاغتصاب والعسل عقل فظيع لتذوق اسود كبير سبب شهير ستيف البينيس spk opus die الالبوم مباشر cocks live بوم godflesh اولى قليل digital hardcore تسويق اسلوب قديم لعب اسم جديد راي عيش وكن معجب جدا انني خرج وسط بعت قرص المضغوط امتصاصه حقا حصل الاقراص مدمج للوزارة اخبر ممتلئ ب sh t empire alec biter عليا,99,68
2,test,0,لمعلوماتك مشترك لشرائه واقع احب عيون اسود اساسي سهل استخدام اعطى نجمة واحد تكلف دولار هدف لا اعرف مكلف للغاية ترغب انفاق دولار كحل فهناك كثير خيار اخرى,49,28
3,train,0,ليس مخيب للامال مخيب للامال تماما اسف لاضاعت مال كتاب اسوا قائمة مساعدة الانترنت,22,14
4,train,1,شراء رائع شراء رائع حقا يبدو افضل يدي يدي حقا لم توقع جودة اقل علامة تجاري,23,16
5,train,1,احب الفيلم الفيلم جيد جدا العديد تحول منعطف,16,8
6,train,1,اشياء جيد الاشياء جيد جدتي شاكين موجة اولى skankin reggae نسبة البريطانيين فان يستحق ثمن soul limbo وحد والذي ستعرفه باعتزاز اعتبار اصلي خام موسيقى لعبة الكريكيت بي بي سي ملهم تماما جئت حد قراءة فلا تردد شراء موسيقى جعل سعيد,57,41
7,train,0,خيبة امل جودة استخدم الكنس الرابعة لتجد عجلة اليمنى لم تحول بحري وان فرشاة صغير لم دور قام زوجي بتفكيكه لتجد حزام صغير تمتد كامل عدم بقاء لا تحرك عجلة فرشاة سلاسة سوء الحظ رميت الاوراق مكن المراهنة اعادة نيتي استخدام تنظيف سريع لا اضطر سحب فراغتي كبير طوال ما جعل بيسيل لن اشتري منتج,75,55
8,train,1,جيد جدا خاصة نسبة سعر كاميرا الويب جيد جدا خاصة نسبة سعر البرامج تاتي جيد جدا رائع جدا ليست افضل جودة اطلاق ليس فظيع حد بعيد ومع yahoo جيد معظم كاميرات الويب اود وصي لاي شخص متطور عمل ياهو صنع لام قصير ومنخفضة جودة,59,44
9,test,0,اعداد tivo اسف جدا درجة انني لم استطع استخدام منتج لست جيد جدا نهاية الكمبيوتر ولم اكن ادرك منتج لن عمل صندوق اسود جديد والموالف رقم وما لا يزال لا يفهمه تماما الفني جاء منزليقال قال لا مكن استخدام نظام جديد ياتي علي اشعر تنص الاشياء لا عمل تلفزيونك قديم عفا لزم بضع اسبوع كبير ولم يكن لدي فكرة حدث حدث ومع فان خدمة والتعاون الجميع رائع عميل تعامل ودودا للغاية مفيد وكريما امازون لا وجد شكاوى فكر نسبة ليس لديهم معرفة وضع علامة العناصر قديم اهمية معروف ليس لدي فكرة كيفية عمل منتج منتج تصنيف مرتفع جدا اشترى نسبة لم يكن معدله اطلاق شكر,173,105
10,test,0,قاموس سميث كتاب مقدس لم يكن كتاب اطلاق ما امل لا يحتوي جميع الكلمات التوراتية صلة احتاجها لدراستي,26,18
11,train,0,ليس منتج مرنا منتج عمل ولت واذا تستخدمه الولايات المتحدة فقد منتج جيد لكنني افضل منتج اخر خدمة العملاء افضل ستستخدم الولايات فيجب عليك شراء طاحونة تصنيف طاقة ولت فستواجه كثير مشكل ما فعل لا تشتري united tools standener لديهم خدمة عملاء فقير دفعوني دولار شحن عنصر دولار لتشويته الي غير مهذب للغاية ويجادل عميل كثيرا يا امبان كلي ليس لديهم خيار عنصر ارجاع amazon عليك اتصال بهم مباشرة سبب عودتي تصنيف قوة غير قابل استخدام نسبة بلدان اخرى,119,79
12,train,1,القبض مجد الله رائع شكر amazon لدي نحلة بحث نسخة قرص مضغوط تسجيل ارتدى تسجيل الكاسيت سنوات منح السوبرانو تسجيل اثارة وستظهر قوة رائع بسيط عروض احتراما لمجد الله يستحقه سعيد جدا وجود قرص المضغوط,50,35
13,train,1,بسيط استخدام لم امتلك ابدا كاميرا الفيديو وبما طفل سن ثانية اراد حصل لام يكبر كثيرا كاميرا الفيديو dvd سهلة استخدام حقا احب شاشة لمس ما تريد قيام صنع لام عائلية فانني وصي بشدة ب dcr dvd اشتكى مراجع الاخرون جودة البكسل لم يكن لدي مشكل اهتزاز لون جودة صورة شاهد لام dvd خاصة بي,80,55
14,test,1,لن يتم تشغيل good metal mtv ابدا الالبوم مدهش بكل طريقة غناء روبرت بلانت افضل كثير مما عاد زيبلين عازفات الجيتار سريع غلين تيبتون kk داونينج مصمم شكل جيد حقيقة ترتيب موسيقي لا تتضمنها فقطبعض اعظم فناني اداء metal موسيقى حب متعة فكاهة عمل اسطوانة نشط للغاية شكل خاص دواسة مزدوج مدونة blast beats عموم الالبوم تميز سرعة شكل اسرع افضل فرقة معدني اسود سمع اشترى الالبوم,93,67
15,train,0,ضوابط جيد سيئ ذكاء الاصطناعى لعبة ممتع بداية قابل تغلب لاحق لن حاول المعارضون فوز صالح منعك فوز تبطئ عالق وراءهم عملية اختيار قائمة بطيئة غير بديهية لم استطع معرفة ما افترض فعل تاتي اول جميع الاجناس وما تحميل اختيار مركبات بطيئة لم استطع انتهاء صعب ومحبطا ومتكررا,72,48
16,val,1,رقم شيطان احب رقم ساعد رياضيات اعتقد افضل جزء fibocci كاران,15,11
17,train,1,a جميع عملي اعادة تصميم وضع depeche مدهش فان صورة وجه الخصوص لديها موسيقى جعل يوم اتصه تاكيد,21,18
18,train,0,ليس متين اطلاق لا توقع تستمر لعبة اطفال عدة اشهر ومع اللحظة فتح حزمة mail بامكاني رؤية رقائق خشبي تتساقط الحروف لا يتم رسم الكتل فهي مجرد ملصق وهي تاتي سهولة صعوبة تقدم amazon عوائد مجاني عيد عنصر,53,38
19,test,0,منتج مخيب للامال افضل كثير سيئ نطاق رهيب كثير ثابت صورة صوت ومصابيح led خضراء مشرق للغاية تضيء المتلقي غرفة نومنا شاشة الفيديو متوقف biggie عمل تردد جميع اجهزة توجيه wifi المستهلك مما يعني يتعين علي فصل الكاميرات استخدام الانترنت لاسلكي صباح اوه وموقف شاشة غير مستقر للغاية عادة ما اضعه جانبها اشياء ناعم حوالي تكرار بعيد منتج رائع جيد انماط تشغيل ثلاثة متاح لطيف رؤية ليلي عمل شكل جيد نسبة الكاميرات قريب حقا اسرة سرير التوائم انذار صوت لطيف نظر صوت فعل يحتوي ثابت قوم بايقاف تشغيل صوت محيط ونستمع للانذار overall انتظر عرجاء ساعطيها c صلبة افضل لا لكنني وصي تجربة اخر ايصالي,141,105
20,train,0,فيلم aweful الفيلم ليس شيئا ولا قصد شيئا دون داركو لا معنى اطلاق لا ضيع اموال,22,16
21,train,0,ليس تحسن شخصية اجراء صغير تنشئها مزعج للتنقل لم حصل ابدا تعليق وقضيت كثير دوران والتصادم الاشياء يبدو لعبة لديها استراتيجية تسويقية موجه لعبة الانترنت وجد المشاكل صعب مستحيل واقع لحلها كثير احباط كثير مسار جانب لا علاقة بحل الغاز لعبة تؤدي ساعة ملل والاحباط افضل كثير لعب الالعاب سابق riven exile myst اصلي لديه سحر ورضا تفتقر لعبة,87,59
22,val,1,قليل تعديل ساعد ابقيت عجلة لكنني خلعت شفرة دليل مسطح لديها ذراعا عموديا قطع ستتعثر دفع للامام طراز اقدم شفرة صلبة مستطيلة فاشتر شراء بديل جديد الحواف المحجوبة دور شكل افضل قطع قطع شكل اسرع ابقيت عجلة واستبدلت برغي راس البلاستيكي يضع ارتفاع عجلة اكثر صلابة وغسالة قفل افضل عمل الاهتزازات تخفيف مسمار كثير الاحيان خلاف حاول اقتراح ملصق اخر نهاية اسبوع تاكيد فن عنصر عمل شكل رائع تتقنه لدي لاعب ثنائي دورة كثير قوة للمهمة سيشجعك حافة شكل متكرر مما جعل مهمة اسهل,115,84
23,test,1,قائظ غريب كتابة رائع قصة الحسية والغامضة والخطبة غريب ترك قرن التاسع عشر kamil pasha شخصية معقد للغاية رواية بالذات ساخطط رحلة ترك اوصافها للبيئات قديم غلاف جوي طريقة مسلي للغاية تعلم,39,32
24,train,0,ليس كتاب جيد لا وجد جنس كتاب والذي يبدو وكانه غش نظر كتاب تسويقا طريقة لا حدث والشخصة رئيسي شقي فوجئت رايت مراجع اخرى اعتقد اصدقاء مؤلف كتب اصدقاء مؤلف لاحظ الايجابيات كلها جملة اثنتين لم قرا شخص كتاب وان جميعهم سيئون لديهم تفصيل,64,44
25,val,1,رحلة مسيحية الجحيم عودة شخص يعتقد سيستمتع باصدقائه معهم الجحيم لا وجد حفل الجحيم الجو حار شكل لا يطاق احرق الم يصرخ معاناة خلايا سجن والشياطين ليس نزهة وهذه ليست مادة ضحك ما شهده مؤلف غير حياة,45,37
26,val,1,يعتمد القطة احدى قططنا عمل معلن ويعطي النتائج بحث القط اخر اداة كامل قام بتكريس حياة تسعة لتبشنا خروج ابطا طرقه مزعج ليس كرد قطة الحل سحري يتصل,47,28
27,train,1,الاضواء الساطعة mk ies touch طبعة جديد نموذجه اول يبدو ممل كتب mcinerney اخرى مدينة نيويورك وسكانها الغريبين بينما يستمتعون سرا بالتحديد الاشخاص الحد اقصى لا ساعد عدم تمكنه تحديد ما كتاب مضحك مميتا يهتم the last of the savages brightness falls افضل ما لديه قراءة رائع ليس مشجع mcinerney ellis المتسللين ساحر مضحك وحزينة وصحيحة للغاية تعلق شعور بانه ترك امراة رائع رائع كلب انتظار طبعة جديد قصة حياة,120,70
28,train,1,افضل لعبة كرة قدم عام madden لعبة كرة قدم رائع الرسومات رائع والوجوه تبدو حقيقي وانا وصي لعبة لجميع لاعب,25,20
29,val,0,كثير اللغط كثير فيلم thie شبه فتاة جميل اعجب ضحل وجوفاء اعجب بصوره flashbacks موسيقى تصوير تتضخم كثير الاحيان فترة المتعملة تفسح مجال للتظاهر واضح مخرج غارقا جمال ما يطلقه مقطع صوت مستمر موسيقى تصوير المورقة نهاية دمر الزخم حوار غالبا ما سخيف حتىالعنوان مزيف الافلام شرق جيد حقا مؤسسة معروف اكمل قصة ما ضعيف ومن المواقف جعل تبدو وكان شيئا ما حدث الاباطرة الجددالملابس لا وجد حماقة زائف حقيقي تبدو جميل مزعج ولا وصول نهاية المطاف انك تدرك كلها بولوني,124,81
